2020-03-01 at 10:52:22 | INFO | pyAPIStart Up ....
2020-03-01 at 10:59:26 | DEBUG | offset: 0
2020-03-01 at 10:59:26 | DEBUG | order: None
2020-03-01 at 10:59:26 | DEBUG | group: None
2020-03-01 at 10:59:26 | DEBUG | count_only: False
2020-03-01 at 10:59:26 | DEBUG | include_count: False
2020-03-01 at 10:59:26 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 10:59:26 | DEBUG | metadata exists ....
2020-03-01 at 10:59:26 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 10:59:26 | DEBUG | SQL of Query: [ SELECT age, job, marital, education, "default", housing, loan, contact, month, day_of_week, duration, campaign, pdays, previous, poutcome, empvar_rate, cons_price_idx, cons_conf_idx, euribor3m, nr_employed 
FROM bank_dist
 LIMIT %(param_1)s OFFSET %(param_2)s ]
2020-03-01 at 10:59:26 | DEBUG | SQL of Count: [ SELECT count() AS col_count 
FROM bank_dist ]
2020-03-01 at 10:59:27 | DEBUG | SQL of Query Full : [ SELECT age, job, marital, education, "default", housing, loan, contact, month, day_of_week, duration, campaign, pdays, previous, poutcome, empvar_rate, cons_price_idx, cons_conf_idx, euribor3m, nr_employed 
FROM bank_dist 
WHERE age=%(age)s
 LIMIT %(param_1)s OFFSET %(param_2)s ]
2020-03-01 at 10:59:27 | DEBUG | SQL of Count Full : [ SELECT count() AS col_count 
FROM bank_dist 
WHERE age=%(age)s ]
2020-03-01 at 10:59:27 | DEBUG | Select Count Result: [ <sqlalchemy.engine.result.ResultProxy object at 0x000001AC89B0EB50> ]
2020-03-01 at 10:59:27 | DEBUG | Select Result: [ <sqlalchemy.engine.result.ResultProxy object at 0x000001AC89BF29A0> ]
2020-03-01 at 10:59:49 | DEBUG | Access '/_table/{table_name}/{id}' : run in get_data_by_id(), input data table_name: [bank_dist]
2020-03-01 at 10:59:49 | DEBUG | fieldlist: [*]
2020-03-01 at 10:59:49 | DEBUG | idfield: [bank_dist]
2020-03-01 at 10:59:49 | DEBUG | query_table_byid():
2020-03-01 at 10:59:49 | DEBUG | tablename: bank_dist
2020-03-01 at 10:59:49 | DEBUG | tbid: 59
2020-03-01 at 10:59:49 | DEBUG | fieldlist: *
2020-03-01 at 10:59:49 | DEBUG | idfiled: bank_dist
2020-03-01 at 10:59:49 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 10:59:49 | DEBUG | metadata exists ....
2020-03-01 at 10:59:49 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 10:59:49 | DEBUG | Primarykey select string : [ bank_dist=:bank_dist ]
2020-03-01 at 10:59:49 | DEBUG | Primarykey select param : [ {'bank_dist': '59'} ]
2020-03-01 at 10:59:49 | ERROR | Exception at crud.query query_table_byid(): 
2020-03-01 at 11:08:22 | DEBUG | query_table():
2020-03-01 at 11:08:22 | DEBUG | tablename: test
2020-03-01 at 11:08:22 | DEBUG | fieldlist: *
2020-03-01 at 11:08:22 | DEBUG | filter: id=:id and name=:name
2020-03-01 at 11:08:22 | DEBUG | limit: 10
2020-03-01 at 11:08:22 | DEBUG | offset: 0
2020-03-01 at 11:08:22 | DEBUG | order: name desc
2020-03-01 at 11:08:22 | DEBUG | group: name
2020-03-01 at 11:08:22 | DEBUG | count_only: False
2020-03-01 at 11:08:22 | DEBUG | include_count: True
2020-03-01 at 11:08:22 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:08:28 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:08:28 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:08:28 | DEBUG | metadata exists ....
2020-03-01 at 11:08:31 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:08:37 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:08:37 | DEBUG | metadata exists ....
2020-03-01 at 11:08:37 | ERROR | Exception at crud.query query_table(): 
2020-03-01 at 11:08:58 | DEBUG | query_table_byid():
2020-03-01 at 11:08:58 | DEBUG | tablename: bank_dist
2020-03-01 at 11:08:58 | DEBUG | tbid: 59
2020-03-01 at 11:08:58 | DEBUG | fieldlist: None
2020-03-01 at 11:08:59 | DEBUG | idfiled: age
2020-03-01 at 11:08:59 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:09:01 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:09:01 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:09:01 | DEBUG | metadata exists ....
2020-03-01 at 11:09:04 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:09:05 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:09:05 | DEBUG | metadata exists ....
2020-03-01 at 11:09:05 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:09:05 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:09:05 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:09:05 | ERROR | Exception at crud.query query_table_byid(): 
2020-03-01 at 11:09:36 | DEBUG | query_table_byid():
2020-03-01 at 11:09:36 | DEBUG | tablename: bank_dist
2020-03-01 at 11:09:36 | DEBUG | tbid: 59
2020-03-01 at 11:09:36 | DEBUG | fieldlist: None
2020-03-01 at 11:09:36 | DEBUG | idfiled: age
2020-03-01 at 11:09:36 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:09:39 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:09:39 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:09:39 | DEBUG | metadata exists ....
2020-03-01 at 11:09:41 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:09:43 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:09:43 | DEBUG | metadata exists ....
2020-03-01 at 11:09:43 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:09:43 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:09:43 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:09:43 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:10:54 | DEBUG | query_table_byid():
2020-03-01 at 11:10:54 | DEBUG | tablename: bank_dist
2020-03-01 at 11:10:54 | DEBUG | tbid: 59
2020-03-01 at 11:10:54 | DEBUG | fieldlist: None
2020-03-01 at 11:10:54 | DEBUG | idfiled: age
2020-03-01 at 11:10:54 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:10:58 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:10:58 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:10:58 | DEBUG | metadata exists ....
2020-03-01 at 11:11:02 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:11:03 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:11:03 | DEBUG | metadata exists ....
2020-03-01 at 11:11:03 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:11:03 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:11:03 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:11:03 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:14:42 | DEBUG | query_table_byid():
2020-03-01 at 11:14:42 | DEBUG | tablename: bank_dist
2020-03-01 at 11:14:42 | DEBUG | tbid: 59
2020-03-01 at 11:14:42 | DEBUG | fieldlist: None
2020-03-01 at 11:14:42 | DEBUG | idfiled: age
2020-03-01 at 11:14:42 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:14:45 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:14:45 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:14:45 | DEBUG | metadata exists ....
2020-03-01 at 11:14:46 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:14:48 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:14:48 | DEBUG | metadata exists ....
2020-03-01 at 11:14:48 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:14:48 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:14:48 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:14:48 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:15:15 | DEBUG | query_table_byid():
2020-03-01 at 11:15:15 | DEBUG | tablename: bank_dist
2020-03-01 at 11:15:15 | DEBUG | tbid: 59
2020-03-01 at 11:15:15 | DEBUG | fieldlist: None
2020-03-01 at 11:15:15 | DEBUG | idfiled: age
2020-03-01 at 11:15:15 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:15:20 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:15:20 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:15:20 | DEBUG | metadata exists ....
2020-03-01 at 11:15:22 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:15:24 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:15:24 | DEBUG | metadata exists ....
2020-03-01 at 11:15:24 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:15:24 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:15:24 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:15:24 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:19:49 | DEBUG | query_table_byid():
2020-03-01 at 11:19:49 | DEBUG | tablename: bank_dist
2020-03-01 at 11:19:49 | DEBUG | tbid: 59
2020-03-01 at 11:19:49 | DEBUG | fieldlist: None
2020-03-01 at 11:19:49 | DEBUG | idfiled: age
2020-03-01 at 11:19:49 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:19:52 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:19:52 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:19:52 | DEBUG | metadata exists ....
2020-03-01 at 11:19:54 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:19:57 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:19:57 | DEBUG | metadata exists ....
2020-03-01 at 11:19:57 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:19:57 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:19:57 | DEBUG | Primarykey select param : [ {'age': 59} ]
2020-03-01 at 11:19:57 | DEBUG | SQL of Query: [ SELECT age, job, marital, education, "default", housing, loan, contact, month, day_of_week, duration, campaign, pdays, previous, poutcome, empvar_rate, cons_price_idx, cons_conf_idx, euribor3m, nr_employed 
FROM bank_dist 
WHERE age=%(age)s
 LIMIT %(param_1)s ]
2020-03-01 at 11:19:57 | DEBUG | Select Result: [ <sqlalchemy.engine.result.ResultProxy object at 0x000001D11A55DA60> ]
2020-03-01 at 11:25:12 | DEBUG | query_table_byid():
2020-03-01 at 11:25:12 | DEBUG | tablename: bank_dist
2020-03-01 at 11:25:12 | DEBUG | tbid: 59
2020-03-01 at 11:25:12 | DEBUG | fieldlist: None
2020-03-01 at 11:25:12 | DEBUG | idfiled: age
2020-03-01 at 11:25:12 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:25:16 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:25:16 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:25:16 | DEBUG | metadata exists ....
2020-03-01 at 11:25:17 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:25:19 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:25:19 | DEBUG | metadata exists ....
2020-03-01 at 11:25:19 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:25:19 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:25:19 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:25:19 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:26:55 | DEBUG | query_table_byid():
2020-03-01 at 11:26:55 | DEBUG | tablename: bank_dist
2020-03-01 at 11:26:55 | DEBUG | tbid: 59
2020-03-01 at 11:26:55 | DEBUG | fieldlist: None
2020-03-01 at 11:26:55 | DEBUG | idfiled: age
2020-03-01 at 11:26:55 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:27:01 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:27:01 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:27:01 | DEBUG | metadata exists ....
2020-03-01 at 11:27:04 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:27:12 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:27:12 | DEBUG | metadata exists ....
2020-03-01 at 11:27:12 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:27:12 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:27:12 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:27:12 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:29:40 | DEBUG | query_table_byid():
2020-03-01 at 11:29:40 | DEBUG | tablename: bank_dist
2020-03-01 at 11:29:40 | DEBUG | tbid: 59
2020-03-01 at 11:29:40 | DEBUG | fieldlist: None
2020-03-01 at 11:29:40 | DEBUG | idfiled: age
2020-03-01 at 11:29:40 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:29:43 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:29:43 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:29:43 | DEBUG | metadata exists ....
2020-03-01 at 11:29:46 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:29:47 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:29:47 | DEBUG | metadata exists ....
2020-03-01 at 11:29:47 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:29:47 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:29:47 | DEBUG | Primarykey select param : [ {'age': '59'} ]
2020-03-01 at 11:29:47 | ERROR | Exception at crud.query query_table_byid(): Code: 43, e.displayText() = DB::Exception: Illegal types of arguments (UInt16, String) of function equals (version 20.1.3.7 (official build))
 
2020-03-01 at 11:35:54 | DEBUG | query_table_byid():
2020-03-01 at 11:35:54 | DEBUG | tablename: bank_dist
2020-03-01 at 11:35:54 | DEBUG | tbid: 59
2020-03-01 at 11:35:54 | DEBUG | fieldlist: None
2020-03-01 at 11:35:54 | DEBUG | idfiled: age
2020-03-01 at 11:35:54 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:35:58 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:35:58 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:35:58 | DEBUG | metadata exists ....
2020-03-01 at 11:36:00 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:36:03 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:36:03 | DEBUG | metadata exists ....
2020-03-01 at 11:36:03 | DEBUG | Table Columns: ['bank_dist.age', 'bank_dist.job', 'bank_dist.marital', 'bank_dist.education', 'bank_dist.default', 'bank_dist.housing', 'bank_dist.loan', 'bank_dist.contact', 'bank_dist.month', 'bank_dist.day_of_week', 'bank_dist.duration', 'bank_dist.campaign', 'bank_dist.pdays', 'bank_dist.previous', 'bank_dist.poutcome', 'bank_dist.empvar_rate', 'bank_dist.cons_price_idx', 'bank_dist.cons_conf_idx', 'bank_dist.euribor3m', 'bank_dist.nr_employed']
2020-03-01 at 11:36:03 | DEBUG | Primarykey select string : [ age=:age ]
2020-03-01 at 11:36:03 | ERROR | Exception at crud.query query_table_byid(): too many values to unpack (expected 2) 
2020-03-01 at 11:36:57 | DEBUG | query_table_byid():
2020-03-01 at 11:36:57 | DEBUG | tablename: bank_dist
2020-03-01 at 11:36:57 | DEBUG | tbid: 59
2020-03-01 at 11:36:57 | DEBUG | fieldlist: None
2020-03-01 at 11:36:57 | DEBUG | idfiled: age
2020-03-01 at 11:36:57 | DEBUG | Connect use uri [ clickhouse://default:passw0rd@192.168.10.12:28123/test ]
2020-03-01 at 11:36:58 | DEBUG | Metafile does not exists, generate it from database ...
2020-03-01 at 11:36:58 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:36:58 | DEBUG | metadata exists ....
2020-03-01 at 11:37:00 | DEBUG | Read Schema: [ test ]
2020-03-01 at 11:37:01 | DEBUG | MetaData(bind=Engine(clickhouse://default:***@192.168.10.12:28123/test))
2020-03-01 at 11:37:01 | DEBUG | metadata exists ....
